"","logFC"
"APOBEC3F",-0.2819927
"APOBEC3G",0.35506409
"APOC1",0.24997554
"APOE",-0.15977857
"APOL1",0.45152053
"APOL2",-0.05713114
"APOL3",-0.2646784
"APOL6",-0.51248779
"APOLD1",0.50805809
"APOO",-0.10978449
"APOOL",0.17713156
"APOPT1",0.19091333
"APP",0.03261001
"APPBP2",-0.36402871
"APPL1",0.43091361
"APPL2",0.30921255
"APRT",0.02586154
"APTR",-0.30001731
"APTX",-0.68306116
"AQP1",-2.65125356
"AQP3",0.20461218
"AQPEP",2.89067235
"AQR",0.01949645
"AR",-0.57227311
"ARAF",-0.05001792
"ARAP1",0.57862979
"ARAP2",-0.46019511
"ARAP3",-0.37786804
"ARCN1",-0.08057586
"AREL1",-0.41834328
"ARF1",-0.08261078
"ARF3",-0.41327515
"ARF4",-0.05396473
"ARF5",0.16306041
"ARF6",-0.21421143
"ARFGAP1",0.1460733
"ARFGAP2",-0.43537695
"ARFGAP3",0.16801042
"ARFGEF1",-0.06620117
"ARFGEF2",-0.18466321
"ARFIP1",-0.18849436
"ARFIP2",-0.05020836
"ARFRP1",0.08259574
"ARG2",0.29570016
"ARGLU1",-0.11529769
"ARHGAP1",-0.13374848
"ARHGAP10",-0.0834662
"ARHGAP11A",-0.16621466
"ARHGAP11B",-0.05929426
"ARHGAP12",0.11262294
"ARHGAP17",-0.18252393
"ARHGAP18",-0.0947592
"ARHGAP19-SLIT1",-0.15355764
"ARHGAP19",-0.21057905
"ARHGAP20",-0.83997695
"ARHGAP21",0.0858689
"ARHGAP22",0.24077919
"ARHGAP23",-0.2274916
"ARHGAP24",-0.1046577
"ARHGAP25",0.20286777
"ARHGAP26",-0.31041682
"ARHGAP27",-0.11525037
"ARHGAP28",-0.63598455
"ARHGAP29",0.01329849
"ARHGAP31",-0.03634656
"ARHGAP32",0.19405223
"ARHGAP35",-0.01193204
"ARHGAP39",-0.61266997
"ARHGAP4",0.24940985
"ARHGAP42",-0.85458955
"ARHGAP5",0.10306951
"ARHGDIA",0.29549008
"ARHGDIB",-0.14062248
"ARHGDIG",1.0466376
"ARHGEF1",0.06186127
"ARHGEF10",0.37070569
"ARHGEF10L",-0.27792222
"ARHGEF11",-0.29421733
"ARHGEF12",0.0038329
"ARHGEF15",0.16147831
"ARHGEF16",-0.38444958
"ARHGEF17",0.14870053
"ARHGEF18",0.19475506
"ARHGEF19",-0.34958469
"ARHGEF2",-0.32768353
"ARHGEF25",0.31068764
"ARHGEF26",-0.37137617
"ARHGEF28",0.22028441
"ARHGEF3",-0.78243402
"ARHGEF37",1.94376485
"ARHGEF39",-0.17353612
"ARHGEF6",0.02994314
"ARHGEF7",0.22493935
"ARHGEF9",-0.77050518
"ARID1A",-0.01190964
"ARID1B",-0.03940269
"ARID2",0.57143541
"ARID3A",1.33982246
"ARID3B",0.01692177
"ARID4A",-0.11339128
"ARID4B",0.19194107
"ARID5A",0.82457077
"ARID5B",-0.88887567
"ARIH1",0.02531812
"ARIH2",-0.26891007
"ARL1",-0.13937873
"ARL10",1.246375
"ARL13B",-0.23604557
"ARL14EP",-0.49589627
"ARL15",-0.32120662
"ARL16",-0.07261694
"ARL17A",-0.34093091
"ARL2-SNX15",0.04354342
"ARL2",0.02296577
"ARL2BP",-0.08926697
"ARL3",-0.0150963
"ARL4A",-0.75799628
"ARL4C",-0.9584389
"ARL4D",-0.13602006
"ARL5A",-0.06276278
"ARL5B",0.14165557
"ARL6",1.88805757
"ARL6IP1",0.38769809
"ARL6IP4",0.69106642
"ARL6IP5",-0.20852286
"ARL6IP6",0.31739256
"ARL8A",0.1678676
"ARL8B",-0.27354963
"ARMC1",-0.38256306
"ARMC10",-0.25039456
"ARMC4",-0.41243017
"ARMC5",0.15862179
"ARMC6",-0.35037084
"ARMC7",-0.21649287
"ARMC8",-0.14504097
"ARMC9",-1.0483814
"ARMCX1",-1.11125799
"ARMCX2",-0.77277801
"ARMCX3",-0.21029434
"ARMCX4",-0.01388334
"ARMCX5-GPRASP2",-0.21765473
"ARMCX5",-0.85531913
"ARMCX6",-0.26533923
"ARNT",-0.11475386
"ARNTL",-0.06885772
"ARNTL2",0.0038647
"ARPC1A",-0.09916745
"ARPC1B",-0.27681677
"ARPC2",0.30980657
"ARPC3",0.19781781
