"","logFC"
"STARD7",-0.37674698
"STARD8",-0.17194543
"STARD9",0.94540427
"STAT1",-0.3034593
"STAT2",0.05088009
"STAT3",0.10049415
"STAT4",1.79732253
"STAT5A",-0.61282144
"STAT5B",0.00737147
"STAT6",-0.0223342
"STAU1",0.16756517
"STAU2",0.0865456
"STBD1",2.40869711
"STC1",2.93740526
"STC2",2.05204854
"STEAP1",-0.21847226
"STEAP1B",-0.30415383
"STEAP2",-0.11581031
"STEAP3",-0.57888738
"STIL",0.02088955
"STIM1",-0.40371968
"STIM2",0.02410312
"STIP1",0.54567731
"STK10",-0.16062149
"STK11",0.18009061
"STK11IP",0.46165513
"STK16",-0.12471948
"STK17A",-0.16700108
"STK17B",0.11120987
"STK19",0.24513035
"STK24",-0.08946724
"STK25",0.4046314
"STK3",0.09059456
"STK32B",0.6343999
"STK32C",0.45249064
"STK35",0.61773632
"STK36",0.04502634
"STK38",-0.21040942
"STK38L",-0.62902711
"STK39",0.08050251
"STK4",-0.11608765
"STK40",-0.14691935
"STMN1",-0.06402994
"STOM",-0.33484495
"STOML1",-0.03191423
"STOML2",-0.26588923
"STON1-GTF2A1L",-0.18334526
"STON1",-0.14178928
"STPG1",-0.13649557
"STRA13",-0.49580704
"STRADA",-0.5352198
"STRADB",0.6125261
"STRAP",-0.32697641
"STRBP",-0.84828288
"STRIP1",-0.27284055
"STRIP2",-0.24173868
"STRN",0.07822863
"STRN3",-0.12624252
"STRN4",-0.02375274
"STS",1.14430856
"STT3A",0.09542694
"STT3B",-0.24933516
"STUB1",0.01803548
"STX10",-0.37015502
"STX11",0.30409843
"STX12",-0.20837564
"STX16-NPEPL1",0.34761128
"STX16",0.15711742
"STX17",0.19301752
"STX18",-0.06465894
"STX1A",-0.62240431
"STX2",0.28694454
"STX3",-0.99150754
"STX4",-0.37897845
"STX5",-0.00776585
"STX6",0.12008399
"STX7",-0.07311873
"STX8",-0.07547518
"STXBP1",0.37903682
"STXBP2",0.83428159
"STXBP3",0.01133257
"STXBP4",-0.31311727
"STXBP5-AS1",0.33322002
"STXBP5",-0.31929229
"STYK1",0.04763263
"STYX",-0.11333985
"STYXL1",-0.18463987
"SUB1",-0.17224297
"SUCLA2",-0.06458461
"SUCLG1",-0.283227
"SUCLG2",0.15702153
"SUCO",0.59934615
"SUDS3",-0.24582501
"SUFU",-0.10956976
"SUGCT",0.04105437
"SUGP1",0.07134124
"SUGP2",-0.05988721
"SUGT1",-0.14881026
"SUGT1P1",0.09978098
"SULF1",-0.03610086
"SULF2",-0.21991751
"SULT1A1",0.91290859
"SULT1A3",0.24874925
"SULT1A4",0.25260434
"SULT1B1",0.10059216
"SULT1C4",0.94021472
"SULT1E1",0.09381895
"SUMF1",1.03029401
"SUMF2",0.09301991
"SUMO1",-0.09937555
"SUMO1P3",-0.17850887
"SUMO2",0.11707142
"SUMO3",0.05464693
"SUN1",0.55662765
"SUN2",0.42018359
"SUOX",-0.81695148
"SUPT16H",-0.010332
"SUPT20H",-0.27036003
"SUPT3H",0.21328108
"SUPT4H1",0.11138851
"SUPT5H",-0.10260491
"SUPT6H",0.23021941
"SUPT7L",0.05161204
"SUPV3L1",-0.21314733
"SURF1",0.03568351
"SURF2",-0.34628214
"SURF4",0.20969897
"SURF6",-0.15224577
"SUSD1",0.57166516
"SUSD5",1.10645048
"SUV39H1",-0.1747694
"SUV39H2",-0.30926192
"SUV420H1",-0.16975071
"SUV420H2",0.01695241
"SUZ12",0.04131282
"SUZ12P1",-0.05860352
"SVIL-AS1",-0.07381732
"SVIL",0.02326574
"SVIP",0.14175072
"SWAP70",-0.49197891
"SWI5",-0.12580464
"SWSAP1",-0.27510963
"SWT1",0.81957323
"SYAP1",0.23967919
"SYBU",-1.06789322
"SYCE1L",0.85317769
"SYDE1",0.5942847
"SYDE2",-0.11752373
"SYF2",0.19636125
"SYMPK",0.4243047
"SYNC",0.02012225
"SYNCRIP",-0.11544
"SYNE1",-0.25731425
"SYNE2",0.09052451
"SYNE3",-0.1352583
"SYNGAP1",0.74942623
"SYNGR1",-0.30156715
"SYNGR2",0.03931551
"SYNJ1",-0.08372437
"SYNJ2",-0.57627297
"SYNJ2BP-COX16",0.02999727
"SYNJ2BP",-0.15236794
"SYNM",0.42884395
"SYNPO",0.77260885
"SYNRG",0.19394445
"SYPL1",0.07839762
"SYS1-DBNDD2",-0.33206537
"SYS1",-0.02846393
"SYT1",-0.6462304
"SYT11",-0.34522213
"SYT17",5.98521141
"SYTL3",0.06793119
"SYTL4",-0.22675513
"SYVN1",-0.07609953
"SZRD1",-0.13996808
"SZT2",0.30682333
"TAB1",-0.24713033
"TAB2",0.029077
"TAB3",0.05240196
"TACC1",0.21089193
"TACC2",-0.70504966
"TACC3",0.07186504
"TACO1",-0.26531943
"TACSTD2",0.87491698
"TADA1",-0.3846481
"TADA2A",0.38021114
"TADA2B",-0.35827348
"TADA3",0.29581971
"TAF1",0.0956363
"TAF10",0.40614741
"TAF11",0.08015735
"TAF12",-0.15010212
"TAF13",-0.23455983
"TAF15",0.47059712
"TAF1A",-0.14841857
"TAF1B",-0.11513934
"TAF1C",-0.14378724
"TAF1D",-0.28755912
"TAF1L",0.50753843
"TAF2",0.15926171
"TAF3",-0.03960914
"TAF4",-0.34870376
"TAF4B",-0.61847544
"TAF5",-0.34663356
"TAF5L",-0.15437555
"TAF6",-0.30546988
"TAF6L",-0.3406084
"TAF7",0.33800743
"TAF8",0.06300512
"TAF9",-0.54400852
"TAF9B",-1.93469736
"TAGLN",-0.6660352
"TAGLN2",0.09469876
"TAL1",-0.23845248
"TALDO1",-0.44958086
"TAMM41",-0.60292383
"TANC1",-0.24518346
"TANC2",0.35331525
"TANGO2",-0.36047905
"TANGO6",-0.27309199
"TANK",0.06385549
"TAOK1",0.25422368
"TAOK2",-0.39863503
"TAOK3",-0.22024408
"TAP1",-0.40558706
"TAP2",-0.55628617
"TAPBP",0.24942032
"TAPBPL",0.3747277
"TAPT1",0.2078785
"TARBP1",0.01971072
"TARBP2",-0.23419993
"TARDBP",-0.32692241
"TARS",-0.46264717
"TARS2",-0.0639319
"TARSL2",0.53848332
"TAS2R20",0.24025803
"TASP1",-0.59038054
"TATDN1",-0.71515932
"TATDN2",-0.04984306
"TATDN3",-0.8336361
"TAX1BP1",0.15050711
"TAX1BP3",0.07177816
"TAZ",0.13499406
"TBC1D1",0.16531276
"TBC1D10A",-0.02797123
"TBC1D10B",-0.05813967
"TBC1D12",0.40405387
"TBC1D13",0.16864602
"TBC1D14",-0.15834388
"TBC1D15",-0.23196728
"TBC1D16",-0.06040136
"TBC1D17",-0.06377536
"TBC1D19",-0.31633802
"TBC1D2",0.03114069
"TBC1D20",0.80245767
"TBC1D22A",0.56750219
"TBC1D22B",0.04664477
"TBC1D23",-0.07505193
"TBC1D24",0.08855494
"TBC1D25",-0.66509664
"TBC1D2B",-0.03982819
"TBC1D3",0.88455232
"TBC1D30",-1.16919338
"TBC1D31",0.00422111
"TBC1D32",0.68519433
"TBC1D3C",0.8832744
"TBC1D3F",0.59843011
"TBC1D3H",0.61229894
"TBC1D3P1-DHX40P1",1.13773778
"TBC1D4",0.02228758
"TBC1D5",0.13853034
"TBC1D7",-0.51471
"TBC1D8",-0.24334268
"TBC1D8B",1.12583997
"TBC1D9",-0.28837946
"TBC1D9B",1.62492338
"TBCA",-0.11553094
"TBCB",0.16566611
"TBCC",-0.32020674
"TBCCD1",-0.04088749
"TBCD",0.0841719
"TBCE",-0.09388819
"TBCEL",-0.00209157
"TBCK",0.40178807
"TBK1",0.13682594
"TBKBP1",-0.15765637
"TBL1X",0.06213546
"TBL1XR1",-0.13376662
"TBL2",0.18913172
"TBL3",-0.2286145
"TBP",0.01006346
"TBPL1",-0.1072443
"TBRG1",-0.14172037
"TBRG4",0.02632356
"TBX1",0.62301513
"TBX18",-0.24119292
"TBX3",0.73224267
"TBXAS1",-0.32764532
"TCAIM",-0.11581869
"TCEA1",-0.02481444
"TCEA2",0.82066874
"TCEA3",2.84479236
"TCEAL1",0.01379975
"TCEAL3",0.34980041
"TCEAL4",0.13530504
"TCEAL7",1.64405564
"TCEAL8",-0.05698093
"TCEANC2",-0.38342979
"TCEB1",-0.16365334
"TCEB2",0.31383324
"TCEB3",-0.11104939
"TCERG1",-0.12596734
"TCF12",-0.30182511
"TCF15",0.66332436
"TCF19",0.40349478
"TCF20",-0.27858254
"TCF25",0.0332608
"TCF3",-0.13244518
"TCF4",-0.26277422
"TCF7L2",0.30993946
"TCFL5",0.22950693
"TCHP",-0.50631878
"TCIRG1",0.37107987
"TCN2",0.22853906
"TCOF1",-0.24711639
"TCP1",-0.18917637
"TCP11L1",0.55589677
"TCP11L2",1.35207642
"TCTA",0.01377901
"TCTEX1D1",1.08827178
"TCTEX1D2",0.39957344
"TCTN1",0.85676574
"TCTN2",0.63381752
"TCTN3",-0.0272345
"TDG",0.11623165
"TDP1",0.21234226
"TDP2",-0.17362936
"TDRD10",0.50566065
"TDRD3",-0.017567
"TDRD7",0.18715423
"TDRD9",0.61666941
"TDRKH",-0.36879616
"TDRP",-0.22337109
"TEAD1",-0.12949995
"TEAD2",-0.5110591
"TEAD4",-0.04166959
"TEC",4.83222894
"TECPR1",-0.23044811
"TECPR2",-0.24080226
"TECR",-0.57891368
"TEF",-0.2506513
"TEFM",-0.43233032
"TEK",0.03760394
"TELO2",-0.22581361
"TEN1-CDK3",0.61065574
"TEN1",0.27295353
"TENC1",-0.21455998
"TENM3",-0.12191553
"TEP1",-0.17274274
"TERC",0.52228913
"TERF1",-0.02560699
"TERF2",-0.04115321
"TERF2IP",-0.17651437
"TES",0.83253645
"TESK1",0.50647018
"TET1",2.78253248
"TET2",0.85395546
"TET3",0.1089321
"TEX10",-0.46142706
"TEX15",-0.39711435
"TEX2",-0.17012006
"TEX261",-0.22570657
"TEX264",-0.0558532
"TEX30",-0.18794396
"TFAM",-0.28125315
"TFAP4",-0.07712684
"TFB1M",0.23709714
"TFB2M",-0.73019155
"TFCP2",-0.38184503
"TFDP1",-0.02553523
"TFDP2",-0.74825304
"TFE3",-0.272459
"TFEB",-0.03407792
"TFEC",-0.50454756
"TFG",-0.14052792
"TFIP11",0.12765918
"TFPI",0.31168425
"TFPI2",0.49427317
"TFPT",-0.31550441
"TFR2",6.4085741
"TFRC",0.45120169
"TG",6.36302696
"TGDS",0.31947762
"TGFB1",-0.25045705
"TGFB1I1",0.14341852
"TGFB2-OT1",-0.47797868
"TGFB2",-0.47699882
"TGFB3",-0.58562067
"TGFBI",0.54666223
"TGFBR1",0.53214009
"TGFBR2",-0.15642886
"TGFBR3",-0.05876463
"TGFBRAP1",-0.31810854
"TGIF1",-0.15516191
"TGIF2-C20orf24",-0.51688114
"TGIF2",-0.17579436
"TGM2",0.00547047
"TGOLN2",0.33578823
"TGS1",-0.32363033
"THADA",-0.08375016
"THAP1",0.07499354
"THAP10",-0.23390481
"THAP11",0.56909477
"THAP2",-0.09995896
"THAP3",-0.21724838
"THAP4",-0.06653416
"THAP5",0.02843076
"THAP6",-0.16252086
"THAP7",0.15121691
"THAP8",1.56397921
"THAP9-AS1",-0.17061037
"THAP9",0.19850799
"THBD",-0.57494738
"THBS1",-0.18733274
"THBS2",0.37084342
"THBS3",-0.14212658
"THEM4",0.18888657
"THEM6",-0.6002796
"THEMIS2",0.12034864
"THG1L",0.4290653
"THNSL1",0.11096357
"THOC1",0.37765079
"THOC2",-0.16981901
"THOC3",0.31745032
"THOC5",-0.27239062
"THOC6",0.35714735
"THOC7",0.13165426
"THOP1",-0.12171204
"THRA",-0.14165225
"THRAP3",-0.01986812
"THRB",-0.00445405
"THSD1",-0.4640453
"THSD4",0.61904831
"THSD7A",-1.03049778
"THTPA",-0.40244985
"THUMPD1",-0.01994988
"THUMPD2",-0.02067508
"THUMPD3-AS1",0.53930384
"THUMPD3",0.25052505
"THYN1",-0.23294301
"TIA1",-0.01573553
"TIAF1",0.89548515
"TIAL1",-0.08018534
"TIAM2",-0.2727825
"TICAM1",0.09690702
"TICAM2",0.60950405
"TICRR",1.36944741
"TIE1",-0.17546183
"TIFA",0.25360469
"TIGD1",-0.29596853
"TIGD2",-1.46032698
"TIGD5",-0.25102461
"TIGD6",0.5314022
"TIGD7",0.21028975
"TIMELESS",-0.32617392
"TIMM10",-0.50379867
"TIMM10B",0.22883153
"TIMM13",-0.25671366
"TIMM17A",-0.45714608
"TIMM17B",-0.51840742
"TIMM21",0.06155324
"TIMM22",-0.50183446
"TIMM23",-0.33107475
"TIMM23B",-0.4051243
"TIMM44",-0.39722264
"TIMM50",-0.28867492
"TIMM8A",-0.7582131
"TIMM8B",-0.34596416
"TIMM9",-0.08478363
"TIMMDC1",-0.32429425
"TIMP1",0.12213471
"TIMP2",-0.26735802
"TIMP3",-0.99881536
"TINAGL1",0.38565263
"TINF2",-0.05762727
"TIPARP",0.01846713
"TIPIN",-0.7490297
"TIPRL",-0.0340723
"TIRAP",-0.34964187
"TJAP1",-0.05892439
"TJP1",-0.11762727
"TJP2",-0.03471248
"TK1",0.69956445
"TK2",-0.07321696
"TKT",-0.47705951
"TLCD2",-0.95683193
"TLDC1",0.3248756
"TLE1",-0.00276755
"TLE2",0.18183344
"TLE3",-0.15168682
"TLE4",-0.38568139
"TLK1",0.04794997
"TLK2",-0.12563114
"TLL1",-0.63618316
"TLN1",0.2348624
"TLN2",-0.07219777
"TLR3",-0.43669281
"TLR4",-0.07032039
"TM2D1",0.11074521
"TM2D2",-0.33125942
"TM2D3",-0.35885103
"TM4SF1",-0.301274
"TM4SF18",-0.62067874
"TM4SF19-TCTEX1D2",0.51976695
"TM6SF1",-0.18646347
"TM7SF2",-0.60521271
"TM7SF3",0.00602307
"TM9SF1",0.25336406
"TM9SF2",0.33290172
"TM9SF3",-0.14880188
"TM9SF4",0.38920355
"TMA16",-0.48584981
"TMA7",-0.09857129
"TMBIM1",-0.3074291
"TMBIM4",-0.03502956
"TMBIM6",0.11471779
"TMC6",-0.07450223
"TMC7",-0.78341355
"TMCC1-AS1",-0.26321335
"TMCC1",0.98425398
"TMCC3",-0.34655767
"TMCO1",-0.038504
"TMCO3",0.47687161
"TMCO4",0.14996328
"TMCO6",-0.30335922
"TMED1",0.23124564
"TMED10",0.2459044
"TMED2",-0.04955707
"TMED3",0.06096208
"TMED4",0.25593752
"TMED5",-0.06759643
"TMED7-TICAM2",0.28533463
"TMED7",0.05377875
"TMED8",-0.14186412
"TMED9",0.16989857
"TMEFF1",0.59839842
"TMEM101",-0.29140306
"TMEM102",-0.26859512
"TMEM104",-0.9252624
"TMEM106A",-0.15486884
"TMEM106B",-0.0921277
"TMEM106C",0.07352523
"TMEM107",0.86076159
"TMEM109",-0.4000591
"TMEM11",-0.10233454
"TMEM110-MUSTN1",0.93924446
"TMEM110",0.75245682
"TMEM115",0.00395915
"TMEM116",0.81895261
"TMEM117",-0.0176316
"TMEM120A",-0.18449619
"TMEM120B",-0.29649261
"TMEM121",0.4203758
"TMEM123",0.20424713
"TMEM126A",-0.44376568
"TMEM126B",-0.58331003
"TMEM127",-0.36660446
"TMEM128",0.21117615
"TMEM129",0.1134491
"TMEM131",0.34789049
"TMEM132A",0.08360938
"TMEM133",-1.60972953
"TMEM134",1.8190897
"TMEM135",-0.23218027
"TMEM136",0.08471331
"TMEM138",-0.77709642
"TMEM140",-0.57606803
"TMEM141",0.02731888
"TMEM143",-0.158473
"TMEM144",1.91610575
"TMEM147",-0.7010723
"TMEM14A",0.36397365
"TMEM14B",0.47494215
"TMEM14C",0.24567001
"TMEM150A",-0.75512557
"TMEM150C",-0.65693428
"TMEM154",-0.18717319
"TMEM156",-0.49565172
"TMEM158",1.14455444
"TMEM159",-0.18133386
"TMEM160",-0.43342024
"TMEM161A",0.00844635
"TMEM161B",0.23032313
"TMEM164",-0.30854385
"TMEM165",-0.11918069
"TMEM167A",-0.13277457
"TMEM167B",-0.07266661
"TMEM168",-0.29903259
"TMEM17",-0.04818394
"TMEM170A",0.22962601
"TMEM170B",-0.23632931
"TMEM171",-0.65720746
"TMEM173",-0.50466217
"TMEM175",-0.4388919
"TMEM177",-0.39573895
"TMEM179B",0.10421949
"TMEM18",0.54258786
"TMEM180",-0.22961768
"TMEM181",0.01505547
"TMEM183A",-0.08992778
"TMEM183B",-0.07460239
"TMEM184B",0.12600846
"TMEM184C",-0.15166795
"TMEM185A",-0.58122198
"TMEM185B",0.05347515
"TMEM186",-0.30479318
"TMEM187",0.2327342
"TMEM189-UBE2V1",-0.19370053
"TMEM189",-0.23009857
"TMEM19",-0.31722908
"TMEM192",-0.90098369
"TMEM194A",-0.02813845
"TMEM194B",0.17397583
"TMEM198B",0.28670308
"TMEM199",-0.33243151
"TMEM2",-0.54087924
"TMEM200A",-0.82855062
"TMEM201",-0.26058402
"TMEM203",-0.07512427
"TMEM204",0.60109288
"TMEM205",-0.17617481
"TMEM206",-0.41710134
"TMEM208",-0.11238442
"TMEM209",-0.16244178
"TMEM214",0.46926315
"TMEM216",0.2446211
"TMEM217",-0.08189622
"TMEM218",-0.3626284
"TMEM219",0.2168556
"TMEM220",1.00321761
"TMEM222",-0.35509035
"TMEM223",0.38651725
"TMEM230",0.19773682
"TMEM231",0.10062007
"TMEM234",-0.01587957
"TMEM237",0.00985657
"TMEM241",-0.81046338
"TMEM242",-0.08565758
"TMEM243",0.0032671
"TMEM245",0.14640569
"TMEM248",0.47707352
"TMEM25",0.00465171
"TMEM251",-0.34024781
"TMEM254",0.12060911
"TMEM255B",-0.1707311
"TMEM256-PLSCR3",0.08915131
"TMEM256",0.06722378
"TMEM258",0.04087696
"TMEM259",0.40381401
"TMEM26",-1.00091682
"TMEM260",0.15868562
"TMEM261",-0.33756977
"TMEM263",0.23664607
"TMEM30A",0.4321968
"TMEM33",-0.43377075
"TMEM35",-0.83097478
"TMEM38A",0.30245632
"TMEM38B",-0.46588208
"TMEM39A",0.02873312
"TMEM39B",0.14099667
"TMEM41A",0.46065289
"TMEM41B",-0.13445894
"TMEM42",-0.29530587
"TMEM43",0.47477419
"TMEM44",-0.52159608
"TMEM45A",4.56465929
"TMEM45B",0.8671063
"TMEM47",0.47490778
"TMEM5",-0.30952673
"TMEM50A",0.3835095
"TMEM50B",-0.18853308
"TMEM51",-0.19160799
"TMEM53",-0.44997855
"TMEM54",-0.13262885
"TMEM55A",0.17334012
"TMEM55B",-0.41122521
"TMEM56-RWDD3",0.05980422
"TMEM57",0.26922805
"TMEM59",0.39089484
"TMEM60",-0.81300986
"TMEM62",-0.07315595
"TMEM63A",-0.34934772
"TMEM63B",-0.0105241
"TMEM64",0.46544528
"TMEM65",0.0029484
"TMEM67",0.91630931
"TMEM68",-0.01148651
"TMEM69",-0.44816874
"TMEM70",-0.70587572
"TMEM71",0.57320041
"TMEM74B",6.13126463
"TMEM79",0.07973181
"TMEM80",-0.68640529
"TMEM81",0.29583708
"TMEM87A",0.22264416
"TMEM87B",-0.25772955
"TMEM88",-0.31291136
"TMEM8A",0.32372448
"TMEM9",0.61868515
"TMEM91",0.85889592
"TMEM97",-0.59584034
"TMEM98",-0.0697401
"TMEM99",1.07432604
"TMEM9B",-0.11165215
"TMF1",0.26910249
"TMLHE",0.09274083
"TMOD2",1.0273611
"TMOD3",0.34210921
"TMPO-AS1",0.32284817
"TMPO",-0.35194414
"TMPPE",-0.47730381
"TMSB10",0.92875987
"TMSB15B",-0.30248671
"TMSB4X",0.17250406
"TMTC1",-0.62915894
"TMTC2",0.46409148
"TMTC3",0.36088407
"TMTC4",-0.31149698
"TMUB1",0.41193646
"TMUB2",-0.27476394
"TMX1",0.42986221
"TMX2-CTNND1",-0.04842056
"TMX2",-0.4098337
"TMX3",0.17369242
"TMX4",-0.13311864
"TNFAIP1",-0.2912768
"TNFAIP2",-0.95181489
"TNFAIP3",0.66821665
"TNFAIP8",1.11005953
"TNFAIP8L1",-0.34123385
"TNFAIP8L2-SCNM1",-0.02223926
"TNFAIP8L3",-1.04203914
"TNFRSF10A",-0.20247517
"TNFRSF10B",0.29773574
"TNFRSF10C",0.05670837
"TNFRSF10D",0.67790863
"TNFRSF11A",0.54727882
"TNFRSF12A",0.0968752
"TNFRSF14",0.65673712
"TNFRSF19",0.31072872
"TNFRSF1A",-0.38408022
"TNFRSF1B",-0.86206133
"TNFRSF21",-1.16185585
"TNFRSF25",0.17156964
"TNFRSF6B",-0.52470199
"TNFSF10",-0.49272867
"TNFSF12-TNFSF13",0.13801573
"TNFSF12",0.37091279
"TNFSF13",-0.04584019
"TNFSF15",0.19594938
"TNFSF18",-1.13589198
"TNFSF4",0.04351603
"TNIK",-0.34893958
"TNIP1",1.043209
"TNIP2",-0.11598622
"TNK2",-0.15701836
"TNKS",0.12562063
"TNKS1BP1",0.13063928
"TNKS2",-0.15387231
"TNPO1",-0.34584677
"TNPO2",-0.06304026
"TNPO3",-0.18850491
"TNRC18",0.20653104
"TNRC6A",-0.10824388
"TNRC6B",-0.28520912
"TNRC6C",-0.07969856
"TNS1",0.75210145
"TNS3",0.25161843
"TNXB",2.43133659
"TOB1",0.27042324
"TOB2",-0.09961274
"TOE1",-0.61415385
"TOLLIP",0.01250988
"TOM1",-0.05472171
"TOM1L2",-0.21770103
"TOMM20",0.04576346
"TOMM22",-0.32662
"TOMM34",-0.39832437
"TOMM40",-0.03652751
"TOMM40L",-0.31752979
"TOMM5",-0.230571
"TOMM6",-0.29156105
"TOMM7",-0.05853939
"TOMM70A",-0.37689772
"TONSL",-0.30480539
"TOP1",-0.05013326
"TOP1MT",-0.3343126
"TOP1P1",-0.05285985
"TOP2A",0.0987861
"TOP2B",-0.33301488
"TOP3A",0.06036996
"TOP3B",0.11214463
"TOPBP1",0.22225044
"TOPORS-AS1",-0.07002727
"TOPORS",-0.40173341
"TOR1A",0.0800188
"TOR1AIP1",0.27077982
"TOR1AIP2",0.3011178
"TOR1B",0.28935627
"TOR2A",-0.08004717
"TOR3A",-0.88776783
"TOR4A",-0.30732184
"TOX",-0.11892283
"TOX2",-0.46924138
"TOX4",0.02713629
"TP53",-0.46019138
"TP53BP1",-0.14797529
"TP53BP2",-0.02280824
"TP53I11",-0.06490125
"TP53I13",0.60061501
"TP53I3",0.27215079
"TP53INP1",-0.32243228
"TP53INP2",0.41231818
"TP53RK",-0.6208085
"TP53TG1",0.05721617
"TP73-AS1",0.15876351
"TPBG",-0.59017043
"TPCN1",-0.51399613
"TPCN2",-0.0423835
"TPD52",1.24842735
"TPD52L2",0.03534588
"TPGS1",0.1900238
"TPGS2",-0.00817106
"TPI1",2.20307056
"TPI1P3",2.13413848
"TPK1",-0.29574744
"TPM1",0.26796739
"TPM2",-0.57204547
"TPM3",0.04196674
"TPM3P9",-0.31782409
"TPM4",0.32327824
"TPMT",-0.38080238
"TPP1",0.91991295
"TPP2",-0.56153438
"TPR",-0.01531253
"TPRA1",-0.32463478
"TPRG1L",-0.25702711
"TPRKB",-0.16668569
"TPRN",0.01424348
"TPST1",-0.29085723
"TPST2",-0.76339971
"TPT1-AS1",0.63535078
"TPT1",0.55170516
"TPX2",-0.20154641
"TRA2A",0.22692172
"TRA2B",0.10877606
"TRABD",-0.01696892
"TRADD",0.69214537
"TRAF2",-0.35891347
"TRAF3",0.19388844
"TRAF3IP1",-0.16453836
"TRAF3IP2-AS1",0.33624189
"TRAF3IP2",-0.32422031
"TRAF4",-0.45660298
"TRAF5",0.94192897
"TRAF6",-0.20503658
"TRAF7",-0.28760474
"TRAFD1",-0.3754475
"TRAIP",0.25602185
"TRAK1",-0.22327659
"TRAK2",-0.26154667
"TRAM1",0.07960788
"TRAM1L1",0.11073543
"TRAM2-AS1",0.45087109
"TRAM2",-0.00066122
"TRANK1",-0.02346991
"TRAP1",-0.20218664
"TRAPPC1",0.18512908
"TRAPPC10",-0.24270398
"TRAPPC11",-0.1372217
"TRAPPC12",0.22947548
"TRAPPC13",-0.21511126
"TRAPPC2",-0.18569381
"TRAPPC2L",-0.11068715
"TRAPPC2P1",-0.17967067
"TRAPPC3",-0.32003326
"TRAPPC4",-0.25938603
"TRAPPC5",0.40317125
"TRAPPC6A",0.34552098
"TRAPPC6B",-0.13400331
"TRAPPC8",-0.29983774
"TRAPPC9",0.12949926
"TRDMT1",-0.28210094
"TRERF1",0.34602028
"TREX1",-0.45309051
"TRIAP1",-0.44253642
"TRIB1",-0.12227799
"TRIB2",0.45496608
"TRIB3",-0.52859488
"TRIM11",-0.20639448
"TRIM13",-0.08561932
"TRIM14",0.05760795
"TRIM16",-0.43259705
"TRIM16L",-0.65370863
"TRIM2",-0.16073208
"TRIM21",0.20753881
"TRIM22",0.10278262
"TRIM23",0.06522762
"TRIM24",-0.48181777
"TRIM25",-0.29601199
"TRIM26",-0.30955181
"TRIM27",-0.35894698
"TRIM28",-0.01539544
"TRIM3",-0.05883927
"TRIM32",-0.30863588
"TRIM33",0.03303146
"TRIM34",-0.41158737
"TRIM35",-0.52641561
"TRIM36",3.1337495
"TRIM37",-0.26160112
"TRIM38",-0.09934424
"TRIM39-RPP21",0.41467299
"TRIM39",0.73365564
"TRIM4",-0.05922274
"TRIM41",-0.17400288
"TRIM44",0.03612635
"TRIM45",-0.45196748
"TRIM46",0.17831959
"TRIM47",-0.51812306
"TRIM5",-0.52604784
"TRIM52-AS1",0.31517845
"TRIM52",0.37111442
"TRIM56",-0.025214
"TRIM59",-0.17162781
"TRIM6-TRIM34",-0.32799768
"TRIM6",-0.19907455
"TRIM62",1.53063836
"TRIM65",0.02519093
"TRIM66",0.72367603
"TRIM68",-0.44755202
"TRIM7",0.14501309
"TRIM8",0.04322186
"TRIO",0.30947569
"TRIOBP",0.19893582
"TRIP10",-0.5500842
"TRIP11",-0.05589613
"TRIP12",0.03296642
"TRIP13",-0.05503305
"TRIP4",0.03080762
"TRIP6",-0.22612932
"TRIQK",0.18360939
"TRIT1",0.57773811
"TRMT1",-0.16691655
"TRMT10A",-0.13713561
"TRMT10B",-0.0666666
"TRMT10C",-0.55022653
"TRMT11",0.08560779
"TRMT112",0.14934364
"TRMT12",-0.7702294
"TRMT13",-0.080417
"TRMT1L",-0.41748789
"TRMT2A",-0.17047369
"TRMT2B",-0.0807851
"TRMT44",0.34809748
"TRMT5",-0.38730346
"TRMT6",0.20493582
"TRMT61A",-0.3073096
"TRMT61B",-0.43473354
"TRMU",0.32625704
"TRNAU1AP",1.10584752
"TRNP1",0.34969295
"TRNT1",-0.33076658
"TRO",0.65583118
"TROAP",-0.37703154
"TROVE2",-0.21958008
"TRPC1",0.46053483
"TRPC4",-0.86389659
"TRPC4AP",-0.27003119
"TRPM3",-0.52392038
"TRPM4",0.03906013
"TRPM7",-0.19631247
"TRPS1",-0.09462602
"TRPT1",1.22838314
"TRPV1",0.78512945
"TRPV2",-0.05942339
"TRPV4",-0.81997687
"TRRAP",0.36626722
"TRUB1",-0.07991632
"TRUB2",-0.30091138
"TSC1",0.42680469
"TSC2",0.32033309
"TSC22D1",-0.89598791
"TSC22D2",-0.16486479
"TSC22D3",0.23220587
"TSC22D4",0.44037855
"TSEN15",-0.58744332
"TSEN2",-0.534054
"TSEN34",0.74249235
"TSEN54",-0.38892652
"TSFM",-0.25112988
"TSG101",-0.05739825
"TSGA10",0.87063898
"TSHZ1",-0.7389888
"TSHZ3",-0.38070096
"TSKU",0.68051347
"TSN",-0.4146528
"TSNARE1",0.61288374
"TSNAX-DISC1",0.38477003
"TSNAX",0.46663281
"TSPAN11",-1.14348386
"TSPAN12",-0.2091817
"TSPAN13",-0.15534313
"TSPAN14",-0.18675008
"TSPAN15",-0.71861032
"TSPAN17",-0.06547145
"TSPAN18",0.33396909
"TSPAN2",0.03263095
"TSPAN3",0.47050792
"TSPAN31",0.17794073
"TSPAN4",-0.15072875
